timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,load,ram_usage,warning
32400929652,17.2118,17.182337,18.934801,18.832098,2902.8008,0,1.1571429,0.71714664,0.85474443,3
32401432411,17.3922,17.0877,19.282,19.256596,2905.5305,0,1.1571429,0.71714664,0.85474443,3
32401935488,17.548,17.22547,17.632801,18.569424,2908.0684,0,1.1571429,0.71130985,0.8572594,3
32402438781,17.6464,17.358309,17.372398,17.987125,2910.5234,0,1.1571429,0.71130985,0.8572594,3
32402942036,17.1052,17.347887,18.7612,18.023663,2913.03,0,1.1571429,0.71269196,0.8572594,3
32403445157,17.4332,17.296295,18.3768,18.39509,2915.6438,0,1.1571429,0.71269196,0.8572594,3
32403948310,17.5726,17.394659,17.372398,17.946907,2918.115,0,1.1571429,0.71211636,0.8572594,3
32404439786,17.671,17.483229,17.2732,17.621592,2920.4866,0,1.1571429,0.71211636,0.8572594,3
32404942760,17.4496,17.517149,17.7568,17.49893,2922.914,0,1.1571429,0.7156016,0.8572594,3
32405445965,17.7202,17.525652,17.4468,17.618101,2925.3928,0,1.1571429,0.7156016,0.8572594,3
32405953574,17.6218,17.57338,17.347599,17.388931,2927.8203,0,1.1571429,0.71405625,0.85515225,3
32406444312,17.261,17.475943,18.538,17.859098,2930.294,0,1.1571429,0.71405625,0.85515225,3
32406947561,17.6136,17.462679,17.7072,18.027716,2932.844,0,1.1571429,0.7144463,0.85515225,3
32407450709,17.3594,17.47897,17.8932,17.850384,2935.3171,0,1.1571429,0.7144463,0.85515225,3
32407954587,17.548,17.489254,18.042,17.817516,2937.8015,0,1.1571429,0.7239655,0.85542417,3
32408457634,17.589,17.464287,17.7568,17.966162,2940.3328,0,1.1571429,0.7239655,0.85542417,3
32408956392,17.4414,17.551424,17.5832,17.508022,2942.715,0,1.1571429,0.71062756,0.85542417,3
32409459665,17.7858,17.49926,17.930399,17.865854,2945.2458,0,1.1571429,0.71062756,0.85542417,3
32409962739,17.8432,17.54427,17.2732,17.68883,2947.7026,0,1.1571429,0.71194637,0.85474443,3
32410465994,17.8924,17.661285,16.5292,17.187695,2950.0615,0,1.1571429,0.71194637,0.85474443,3
32410969172,17.7612,17.654932,17.3972,17.163126,2952.4463,0,1.1571429,0.716177,0.8572594,3
32411468395,17.8924,17.691774,16.7524,17.106886,2954.819,0,1.1571429,0.716177,0.8572594,3
32411959666,18.2532,17.79876,15.847199,16.708998,2957.0652,0,1.1571429,0.71294034,0.8572594,3
32412462714,17.8842,17.880415,16.4424,16.334572,2959.3027,0,1.1571429,0.71294034,0.8572594,3
32412965927,17.22,17.838787,17.1368,16.5869,2961.6438,0,1.1571429,0.7223315,0.8572594,3
32413469160,17.7038,17.73415,17.645199,17.144194,2964.0945,0,1.1571429,0.7223315,0.8572594,3
32413972338,17.8022,17.738516,16.851599,17.100563,2966.4858,0,1.1571429,0.70969284,0.8572594,3
32414475610,17.9662,17.749485,16.9012,16.983484,2968.8455,0,1.1571429,0.70969284,0.8572594,3
32414966735,18.409,17.942347,15.0412,16.196047,2970.9883,0,1.1571429,0.7155142,0.85515225,3
32415469796,17.2036,17.866106,17.9924,16.420626,2973.274,0,1.1571429,0.7155142,0.85515225,3
32415973171,17.8924,17.796171,16.5912,16.970524,2975.7258,0,1.1571429,0.71935534,0.85515225,3
32416477644,17.7858,17.82148,16.5788,16.7685,2978.0562,0,1.1571429,0.71935534,0.85515225,3
32416980282,17.4988,17.792019,17.198801,16.787172,2980.3962,0,1.1571429,0.7038263,0.85542417,3
32417483375,17.712,17.728079,17.4468,17.143671,2982.8274,0,1.1571429,0.7038263,0.85542417,3
32417987140,18.0646,17.759617,16.7028,17.001064,2985.198,0,1.1571429,0.71472514,0.85542417,3
32418489901,18.491,17.867493,15.487599,16.532373,2987.4658,0,1.1571429,0.71472514,0.85542417,3
32418981025,18.491,18.065138,15.0164,15.671219,2989.5142,0,1.1571429,0.7117621,0.85542417,3
32419484731,18.2286,18.13676,15.599199,15.494154,2991.6567,0,1.1571429,0.7117621,0.85542417,3
32419988073,18.204,18.181988,15.413199,15.470046,2993.8196,0,1.1571429,0.7124213,0.8572594,3
32420490693,18.2614,18.209976,15.611599,15.475957,2995.9792,0,1.1571429,0.7124213,0.8572594,3
32420993893,18.2368,18.23949,15.5124,15.453089,2998.1375,0,1.1571429,0.7120378,0.8572594,3
32421497111,18.245,18.250938,15.376,15.433285,3000.2937,0,1.1571429,0.7120378,0.8572594,3
32422000430,17.5234,18.222626,16.306,15.484177,3002.4563,0,1.1571429,0.711519,0.8572594,3
32422491650,17.4004,17.970428,17.7568,16.656193,3004.8457,0,1.1571429,0.711519,0.8572594,3
32422994767,18.081,17.901804,16.4052,16.877502,3007.2446,0,1.1571429,0.7150893,0.8572594,3
32423498055,18.1958,17.977531,15.599199,16.333443,3009.4773,0,1.1571429,0.7150893,0.8572594,3
